"idx","slug","triplet_id","sentence","expression","source_domain","target_domain","a1_reasoning","a2_is_inferential","a2_reasoning","a3_span","a3_substring_verified","a4_keep","a4_confidence","a4_reasoning","in_final_result"
"40","ag-education","ag-education_p0005_along","Along with school programs, membership in Future Farmers of America is up to about 580,000 — nearly double its ranks of the mid-1980s. That spike dispels the notion the national organization is merely a haven for farm kids, given that the number of U.S. farms are on a long-term downward trend, shrinking another 4 percent between 2007 and 2012, according to the latest federal figures available.","shrinking another 4 percent","physical contraction in size","reduction in the number of farms","Uses language of something getting physically smaller to describe a drop in count.","True","Physical contraction is still clearly perceivable in 'shrinking.' The metaphor helps the reader understand the farms as diminishing in extent or count, which gives inferential information about the direction and continued reduction of the system over time.","shrinking another 4 percent","True","True","medium","Shrinking maps physical size reduction onto a numerical decline. The imagery remains understandable to modern readers and helps depict the farms as contracting over time rather than merely reporting a number.","True"
"61","wildfire-deaths","wildfire-deaths_p0014_since","Since the 1950s — until Sunday — only three other wildfires had claimed the lives of 10 or more firefighters, and each prompted changes in safety regulations and training.","claimed the lives of 10 or more firefighters","law/property ownership or collection by an agent","a wildfire causing deaths","""Claimed"" literally involves asserting ownership or taking possession; here a natural event is framed as an agent that takes human lives.","False","The source image of an agent 'claiming' or taking something is still faintly perceivable, but in this context it is a highly conventional journalistic way to mean 'caused deaths.' It does not substantially help the reader reason about the mechanism, structure, or system dynamics of wildfire fatalities; it mainly adds agency/emphasis. So it is better treated as not inferential here.","","","","","","False"
"61","wildfire-deaths","wildfire-deaths_p0014_since","Since the 1950s — until Sunday — only three other wildfires had claimed the lives of 10 or more firefighters, and each prompted changes in safety regulations and training.","the lives of 10 or more firefighters","possessions or countable entities that can be taken","human existence/survival","In the phrase ""claimed the lives,"" lives are treated as if they were separable things that can be possessed or removed.","False","Although 'lives' can be grammatically treated like countable things, this is not a clearly active cross-domain mapping that a modern reader uses to infer cause or structure. It functions as ordinary vocabulary for human survival/existence, not as a metaphor that explains how anything works.","","","","","","False"
"61","wildfire-deaths","wildfire-deaths_p0014_since","Since the 1950s — until Sunday — only three other wildfires had claimed the lives of 10 or more firefighters, and each prompted changes in safety regulations and training.","each prompted changes in safety regulations and training","physical prodding/spurring or cueing someone to act","deadly wildfire events causing institutional response","""Prompted"" literally suggests nudging or cueing action; here each wildfire is personified as causing policy and training revisions.","True","The source domain of prompting/prodding/cueing action is still perceivable to a modern reader, and it helps represent the wildfire events as triggers that set institutional responses in motion. This supports inference about causal and system-level dynamics: deadly fires lead to revisions in rules and training. It therefore does explanatory work beyond mere emphasis.","each prompted changes in safety regulations and training","True","False","high","""Prompted"" is a highly conventional causal verb here, with little active source-domain imagery for modern readers. It conveys that the fires caused later policy/training changes, but does not add meaningful inferential structure beyond ordinary causation.","False"
"61","wildfire-deaths","wildfire-deaths_p0014_since","Since the 1950s — until Sunday — only three other wildfires had claimed the lives of 10 or more firefighters, and each prompted changes in safety regulations and training.","changes in safety regulations and training","physical alteration or shifting from one state to another","revision of abstract rules and practices","""Changes"" can draw on the idea of physically altering something, applied here to abstract regulations and training systems.","False","Here 'changes' is very general, largely dead vocabulary for revision or alteration, and most readers will not actively imagine a concrete physical shifting. It does not add meaningful cross-domain structure or explain causal/system relations by itself; it simply names the outcome.","","","","","","False"
"46","business-apprenticeships","business-apprenticeships_p0008_the","The recommended solution: Multiple pathways to adulthood, with employers playing a greater role in shaping those paths. In European vocational systems, the report says, employers and educators not only develop the next generation of workers; they also help young people transition to adulthood.","The recommended solution","problem-solving / technical repair","social-policy recommendation","It frames a social issue as a problem that can be 'solved' with a single answer or fix, borrowing language from technical or puzzle-solving contexts.","False","Solution is highly conventional in policy language and is usually processed as ordinary problem-solving vocabulary, not as a vivid technical-repair scene. It frames the recommendation as an answer, but it does not meaningfully add causal, structural, directional, or system-level understanding of how the process works.","","","","","","False"
"46","business-apprenticeships","business-apprenticeships_p0008_the","The recommended solution: Multiple pathways to adulthood, with employers playing a greater role in shaping those paths. In European vocational systems, the report says, employers and educators not only develop the next generation of workers; they also help young people transition to adulthood.","Multiple pathways to adulthood","physical paths / journeys","life courses and routes to becoming an adult","'Pathways' literally refers to routes through space, but here it describes different social or developmental routes into adult life.","True","The physical path/journey source domain is clearly still perceivable. It helps readers reason about structure and direction by presenting adulthood as something reachable by different routes rather than a single fixed sequence. This directly supports inference about how entry into adulthood can work in multiple ways.","Multiple pathways to adulthood","True","True","high","This uses a journey/path source domain for becoming an adult. The imagery is still active and it helps readers reason about structure and alternatives: there are different routes leading to the same endpoint.","True"
"46","business-apprenticeships","business-apprenticeships_p0008_the","The recommended solution: Multiple pathways to adulthood, with employers playing a greater role in shaping those paths. In European vocational systems, the report says, employers and educators not only develop the next generation of workers; they also help young people transition to adulthood.","playing a greater role","theater / performance or game-playing","institutional function and influence","Employers are not literally acting on a stage; 'playing a role' maps performance language onto social participation and responsibility.","True","The theater or performance source remains available to a modern reader through role and playing. Even though the phrase is conventional, it helps explain system dynamics by casting employers as actors with a larger functional part in the overall process. That gives causal and relational information about who influences the outcome.","playing a greater role","True","False","high","This is a highly conventional fixed expression from theatrical language. The source domain is not strongly active here, and the phrase mainly means 'having more influence/function' without adding much inferential structure.","False"
"46","business-apprenticeships","business-apprenticeships_p0008_the","The recommended solution: Multiple pathways to adulthood, with employers playing a greater role in shaping those paths. In European vocational systems, the report says, employers and educators not only develop the next generation of workers; they also help young people transition to adulthood.","shaping those paths","molding / crafting physical objects","influencing life trajectories or educational routes","'Shaping' literally involves giving form to something physical, but here it refers to influencing abstract developmental pathways.","True","The molding or crafting imagery is still active. It suggests that employers do not merely participate but actively form the contours of the routes young people follow. This helps readers infer causal influence and structural effects on life trajectories.","shaping those paths","True","True","medium","This extends the path metaphor and adds a physical-forming source domain. It helps readers understand employers as causally structuring or molding the routes young people take toward adulthood.","True"
"46","business-apprenticeships","business-apprenticeships_p0008_the","The recommended solution: Multiple pathways to adulthood, with employers playing a greater role in shaping those paths. In European vocational systems, the report says, employers and educators not only develop the next generation of workers; they also help young people transition to adulthood.","European vocational systems","mechanical / biological systems","organized educational and labor institutions","Calling institutions 'systems' draws on language for interconnected mechanisms or organisms to describe social arrangements.","True","System is conventional, but the idea of interrelated parts working together is still perceivable. Referring to vocational arrangements as systems helps readers understand the institutional structure and the coordinated relations among employers, educators, and young people. It contributes system-level reasoning rather than mere description.","European vocational systems","True","False","high","This appears to be literal policy/social-science terminology, not a cross-domain metaphor. 'Systems' here names organized institutions directly rather than invoking active metaphorical imagery.","False"
"46","business-apprenticeships","business-apprenticeships_p0008_the","The recommended solution: Multiple pathways to adulthood, with employers playing a greater role in shaping those paths. In European vocational systems, the report says, employers and educators not only develop the next generation of workers; they also help young people transition to adulthood.","the report says","human speech","written document conveying information","A report does not literally speak; this personifies the document as if it were a human speaker.","False","This is a routine personification or metonymic shortcut in which a document is treated as a speaker. The source domain is easy to recognize, but it does not help explain cause, structure, direction, or mechanism; it only attributes the claim to the report.","","","","","","False"
"46","business-apprenticeships","business-apprenticeships_p0008_the","The recommended solution: Multiple pathways to adulthood, with employers playing a greater role in shaping those paths. In European vocational systems, the report says, employers and educators not only develop the next generation of workers; they also help young people transition to adulthood.","develop the next generation of workers","growth / cultivation / construction","educating and preparing future workers","'Develop' literally suggests growing, unfolding, or building something; here it is applied to forming people's skills and capacities.","True","Develop still evokes growth, formation, or cultivation strongly enough for modern readers. It helps explain how employers and educators contribute causally by bringing future workers into a more mature and prepared state. The metaphor is conventional, but it remains inferential because it models the formative process.","develop the next generation of workers","True","True","low","Although 'develop' is somewhat conventional, it still plausibly invokes growth/formation and frames workers as something gradually cultivated. That gives it some inferential value about process and causation, so it is safer to keep.","True"
"46","business-apprenticeships","business-apprenticeships_p0008_the","The recommended solution: Multiple pathways to adulthood, with employers playing a greater role in shaping those paths. In European vocational systems, the report says, employers and educators not only develop the next generation of workers; they also help young people transition to adulthood.","transition to adulthood","movement between states or locations","maturing into a new life stage","'Transition' evokes crossing from one state or place to another, applied here to the abstract process of becoming an adult.","True","The movement-between-states source domain is still perceivable. It frames adulthood as a new state entered through a process of passage, giving directional and structural information about maturation. This helps explain how young people move from one life stage to another.","transition to adulthood","True","True","medium","This uses movement/change-of-state language to describe becoming an adult. Even if somewhat conventional, it helps readers understand adulthood as a directional passage from one life stage to another.","True"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","Reducing class sizes","physical shrinking or size reduction of objects","lowering the number of students in a class","It frames an abstract numerical or organizational change as if a physical object were being made smaller.","True","This uses physical shrinking/size reduction to describe lowering enrollment per class. A modern reader can still perceive the smaller/larger image, and it helps explain the direction and structural mechanism of the policy: making classes smaller is what is supposed to create conditions for different teaching and parent communication.","Reducing class sizes","True","False","high","""Reducing"" and ""size"" here function as standard quantitative vocabulary for lowering the number of students in a class. The physical-smallness source domain is not strongly active, and the phrase does not add inferential structure beyond the literal policy change.","False"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","class sizes","physical dimensions of objects","number of students enrolled in a class","The term size literally refers to spatial extent, but here it refers to quantity.","True","The phrase maps physical size onto number of students in a class. Although conventional, the source domain is still available enough to let readers reason about class structure in terms of larger vs. smaller groupings, which is central to how the sentence explains educational effects.","class sizes","True","False","high","""Class size"" is a lexicalized way to mean class enrollment/count. The physical-dimension sense of ""size"" is largely dead in this use, so it does not provide an active cross-domain mapping that helps the reader reason metaphorically.","False"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","have the potential","stored energy, latent force, or built-in capacity in physical systems","the possibility that a policy change could produce an effect","It treats the reform as containing latent power that could be activated.","False","While 'potential' historically evokes latent stored capacity, here it functions mostly as an abstract way of saying 'could.' The physical source imagery is weak, and the phrase marks possibility rather than explaining a concrete mechanism or system relation.","","","","","","False"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","make a big difference","creating an object plus physical size/magnitude","causing a substantial effect or improvement","The wording suggests an impact can be made like an object, and that its importance can be measured in physical size.","False","This is a very conventional expression for 'have a substantial effect.' The size imagery in 'big' is weak here, and the phrase mainly indicates outcome magnitude, not how the effect is produced.","","","","","","False"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","big difference","physical largeness or spatial magnitude","degree of effect or importance","Big is a spatial term applied to an abstract change in outcomes.","False","The mapping from physical largeness to degree of effect is highly lexicalized here. It gives emphasis about amount but does not contribute much to causal, structural, or directional reasoning.","","","","","","False"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","get the training","acquiring or receiving a physical object","obtaining instruction or professional preparation","Training is intangible, but it is talked about as something one can get or receive like an object.","False","Any object-acquisition imagery in 'get' is largely bleached in modern usage. The phrase simply means obtaining training and does not itself offer an active cross-domain model of how the educational change works.","","","","","","False"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","administrative support","physical support, holding something up, bearing weight","institutional assistance or backing","Support literally refers to propping something up physically, but here it means organizational help.","True","The idea of support as physically holding something up is still perceivable. Applied to institutional backing, it helps explain an enabling causal relation: teachers can benefit from smaller classes only if administration provides the assistance that sustains or undergirds new practices.","administrative support","True","False","high","""Support"" in the sense of help or backing is highly conventional dead metaphor. It does not contribute distinctive inferential structure here; it simply names assistance from administrators.","False"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","take advantage of the situation","taking, grasping, or seizing a favorable object or position","using circumstances beneficially","It presents an opportunity as something that can be physically taken or seized.","False","Although there is a faint image of seizing or taking something favorable, this is mostly a fixed idiom meaning 'use the circumstances well.' It does not add much explanatory structure beyond that.","","","","","","False"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","changing how they teach","altering the form or state of a physical object","modifying teaching practices or methods","It treats pedagogical behavior as something that can be changed like a material thing.","False","'Change' is very general abstract vocabulary here, with little active physical-object imagery. It describes modification directly rather than through a salient cross-domain mapping that explains system dynamics.","","","","","","False"
"13","class-sizes","class-sizes_p0011_reducing","— Reducing class sizes can have the potential to make a big difference for students only if teachers get the training and administrative support to take advantage of the situation by changing how they teach and how they interact with parents.","interact with parents","mutual action or contact between physical entities","social communication and engagement","Interact can evoke reciprocal physical action, here applied to conversational or relational behavior.","False","This functions as ordinary abstract/social vocabulary for reciprocal communication. The source notion of physical action/contact is not strongly foregrounded, and the phrase is not doing inferential metaphor work.","","","","","","False"
"7","schoollunch-fail","schoollunch-fail_p0010_with","With so little meat and potatoes (and fruit, vegetables and grains), what was in the home lunches? The elementary school lunches included 4.43 ounces of sugary drinks, 0.58 of a serving of snack chips and 0.67 of a serving of dessert — none of which may be served in cafeterias that follow the National School Lunch Program guidelines. Lunches brought by middle schoolers had a little more chips but a little less dessert and sugary drinks, on average.","meat and potatoes","staple foods / main-course ingredients","the basic, substantial part of a lunch","This phrase can extend from specific foods to mean the core or substantive part of a meal, so it may be doing more than naming literal items.","False","Although ""meat and potatoes"" can be metaphorical in other contexts, here it is being used literally to refer to actual food categories in lunches. There is no clear cross-domain mapping for a modern reader to infer from, and it does not explain cause, structure, direction, or system relations.","","","","","","False"
"7","schoollunch-fail","schoollunch-fail_p0010_with","With so little meat and potatoes (and fruit, vegetables and grains), what was in the home lunches? The elementary school lunches included 4.43 ounces of sugary drinks, 0.58 of a serving of snack chips and 0.67 of a serving of dessert — none of which may be served in cafeterias that follow the National School Lunch Program guidelines. Lunches brought by middle schoolers had a little more chips but a little less dessert and sugary drinks, on average.","home lunches","physical place/home","lunches prepared or packed at home","""Home"" literally names a place, but here it characterizes the lunches by origin/preparation context rather than describing the lunches as literal homes.","False","This is mainly a metonymic or descriptive phrase meaning lunches packed at home. The source notion of a physical home is weakly present, but it does not actively structure understanding of how the lunches work or of any causal/system dynamic. It is not an inferential metaphor.","","","","","","False"
"7","schoollunch-fail","schoollunch-fail_p0010_with","With so little meat and potatoes (and fruit, vegetables and grains), what was in the home lunches? The elementary school lunches included 4.43 ounces of sugary drinks, 0.58 of a serving of snack chips and 0.67 of a serving of dessert — none of which may be served in cafeterias that follow the National School Lunch Program guidelines. Lunches brought by middle schoolers had a little more chips but a little less dessert and sugary drinks, on average.","included","enclosure / putting something inside something","the composition of the lunches","""Included"" literally suggests enclosing something within something else; here it is used for what items made up the lunches.","False","Any enclosure/containment imagery in ""included"" is very conventional here and largely dead. The word simply states composition or membership, without offering a live source-domain image that helps the reader reason about mechanisms or relational structure.","","","","","","False"
"7","schoollunch-fail","schoollunch-fail_p0010_with","With so little meat and potatoes (and fruit, vegetables and grains), what was in the home lunches? The elementary school lunches included 4.43 ounces of sugary drinks, 0.58 of a serving of snack chips and 0.67 of a serving of dessert — none of which may be served in cafeterias that follow the National School Lunch Program guidelines. Lunches brought by middle schoolers had a little more chips but a little less dessert and sugary drinks, on average.","cafeterias that follow the National School Lunch Program guidelines","animate agents moving along a path or obeying directions","food-service institutions complying with policy rules","The phrase treats ""cafeterias"" as if they were agents capable of following directions, personifying the institution or staff.","True","This phrase uses an agentive/path-based framing: cafeterias are construed as entities that can ""follow"" prescribed directions. That source imagery is still available to modern readers, and it helps explain the system relationship between institutions and policy rules—how cafeteria offerings are constrained by compliance requirements.","cafeterias that follow the National School Lunch Program guidelines","True","False","high","This full span is mostly literal, and its potentially metaphorical part ('follow ... guidelines') is highly conventionalized. It does not actively invoke a source domain in a way that structures reasoning beyond straightforward compliance.","False"
"7","schoollunch-fail","schoollunch-fail_p0010_with","With so little meat and potatoes (and fruit, vegetables and grains), what was in the home lunches? The elementary school lunches included 4.43 ounces of sugary drinks, 0.58 of a serving of snack chips and 0.67 of a serving of dessert — none of which may be served in cafeterias that follow the National School Lunch Program guidelines. Lunches brought by middle schoolers had a little more chips but a little less dessert and sugary drinks, on average.","follow the National School Lunch Program guidelines","physical movement along a path or behind a guide","adhering to abstract rules or standards","""Follow"" comes from spatial/motion language but is used here for compliance with policy.","True","The source domain of moving along a path or behind guidance is still perceivable in ""follow."" It helps the reader infer how compliance works: abstract rules are treated like a route or direction set that behavior must track. That is structural and system-level, not merely expressive.","follow the National School Lunch Program guidelines","True","False","high","'Follow guidelines' is a fixed, very conventional expression for obeying rules. Any path-tracking imagery is largely dead here, and it does not add inferential structure beyond stating adherence.","False"
"7","schoollunch-fail","schoollunch-fail_p0010_with","With so little meat and potatoes (and fruit, vegetables and grains), what was in the home lunches? The elementary school lunches included 4.43 ounces of sugary drinks, 0.58 of a serving of snack chips and 0.67 of a serving of dessert — none of which may be served in cafeterias that follow the National School Lunch Program guidelines. Lunches brought by middle schoolers had a little more chips but a little less dessert and sugary drinks, on average.","guidelines","physical guiding lines or marks","abstract rules or standards","A ""guideline"" literally suggests a line that guides movement or action; here it refers to nonphysical policy directives.","True","Though conventional, ""guidelines"" still evokes lines or markings that guide movement or action. That source-domain imagery helps frame rules as directional constraints on behavior, contributing to an understanding of how the institutional rule system operates. Given the preference for recall, this counts as inferential.","guidelines","True","False","high","'Guidelines' is lexicalized administrative vocabulary. The original 'line that guides' imagery is not actively perceived, and the term functions literally here as standard policy language rather than an inferential metaphor.","False"
"7","schoollunch-fail","schoollunch-fail_p0010_with","With so little meat and potatoes (and fruit, vegetables and grains), what was in the home lunches? The elementary school lunches included 4.43 ounces of sugary drinks, 0.58 of a serving of snack chips and 0.67 of a serving of dessert — none of which may be served in cafeterias that follow the National School Lunch Program guidelines. Lunches brought by middle schoolers had a little more chips but a little less dessert and sugary drinks, on average.","had a little more chips but a little less dessert and sugary drinks","possession / having something","the quantity makeup of the lunches","""Had"" uses possession language to describe the lunches' composition and amounts rather than literal ownership.","False","The use of ""had"" for quantity or composition is highly conventional and does not preserve strong possession imagery that would help a reader reason about mechanisms or structure. It simply reports amounts, without an active cross-domain mapping.","","","","","","False"
"4","obama-immigration-speech","obama-immigration-speech_p0001_washington","WASHINGTON — Spurning furious Republicans, President Barack Obama unveiled expansive executive actions on immigration Thursday night to spare nearly 5 million people in the U.S. illegally from deportation and refocus enforcement efforts on ""felons, not families.""","WASHINGTON","geographic place / capital city","the U.S. federal government or national political sphere","Although it can be a literal dateline, place names in political news often stand metonymically for the institutions and actors located there.","False","This is mainly a metonymic journalistic shorthand for the federal government or national politics, not a clear cross-domain metaphor. Although readers know the place stands for institutions located there, it does not meaningfully help explain cause, structure, direction, or how the policy action works.","","","","","","False"
"4","obama-immigration-speech","obama-immigration-speech_p0001_washington","WASHINGTON — Spurning furious Republicans, President Barack Obama unveiled expansive executive actions on immigration Thursday night to spare nearly 5 million people in the U.S. illegally from deportation and refocus enforcement efforts on ""felons, not families.""","Spurning","physical or social rejection, historically including pushing away or rejecting a suitor","political disregard or dismissal of opponents","The verb suggests a concrete act of rejecting or casting aside, applied here to Obama's stance toward Republican criticism.","False","The rejection imagery is still somewhat available, but here it functions mostly as a conventional way to say Obama disregarded or rebuffed Republicans. It describes political stance rather than explaining a mechanism, structure, or system dynamic in a way that helps the reader infer how the immigration action operates.","","","","","","False"
"4","obama-immigration-speech","obama-immigration-speech_p0001_washington","WASHINGTON — Spurning furious Republicans, President Barack Obama unveiled expansive executive actions on immigration Thursday night to spare nearly 5 million people in the U.S. illegally from deportation and refocus enforcement efforts on ""felons, not families.""","furious Republicans","violent force, storminess, or intense heat","the emotional state of political actors","The intensity term 'furious' can be seen as force-based language used to characterize political anger.","False","Any older imagery of heat or violent force is largely inactive here; modern readers mainly understand this as a plain adjective for anger. It expresses intensity of emotion but does not help explain cause, structure, direction, or system-level relations.","","","","","","False"
"4","obama-immigration-speech","obama-immigration-speech_p0001_washington","WASHINGTON — Spurning furious Republicans, President Barack Obama unveiled expansive executive actions on immigration Thursday night to spare nearly 5 million people in the U.S. illegally from deportation and refocus enforcement efforts on ""felons, not families.""","unveiled","removing a physical veil or covering from an object","publicly announcing or revealing policy measures","Policies are not literally covered by a veil; the verb maps physical uncovering onto disclosure.","True","The source domain of removing a veil or covering is still clearly perceivable. It maps a hidden/covered object onto previously undisclosed policy, helping the reader infer a change from concealed preparation to public visibility. That contributes to understanding how the announcement functions.","President Barack Obama unveiled expansive executive actions on immigration Thursday night","True","False","high","This full clause is mostly literal. The potentially metaphorical part is 'unveiled,' but that is a very conventional news verb with weak active imagery, and it does not meaningfully structure reasoning about the policy's causes or system dynamics.","False"
"4","obama-immigration-speech","obama-immigration-speech_p0001_washington","WASHINGTON — Spurning furious Republicans, President Barack Obama unveiled expansive executive actions on immigration Thursday night to spare nearly 5 million people in the U.S. illegally from deportation and refocus enforcement efforts on ""felons, not families.""","expansive executive actions","physical size or spatial extension","the breadth, scope, or reach of policy actions","The adjective 'expansive' uses spatial extension language to describe how broad the actions are.","True","Spatial extension remains perceptible in 'expansive.' It maps physical breadth onto the scope and reach of the executive actions, helping the reader reason about the structural extent of the policy rather than merely praising or intensifying it.","expansive executive actions","True","True","low","This uses spatial-extension language ('expansive') to describe policy scope. The source domain is still somewhat perceptible, and it helps the reader understand the breadth and reach of the actions rather than merely adding emotion.","True"
"4","obama-immigration-speech","obama-immigration-speech_p0001_washington","WASHINGTON — Spurning furious Republicans, President Barack Obama unveiled expansive executive actions on immigration Thursday night to spare nearly 5 million people in the U.S. illegally from deportation and refocus enforcement efforts on ""felons, not families.""","spare nearly 5 million people in the U.S. illegally from deportation","saving or refraining from harming, killing, or punishing someone","exempting people from a legal enforcement outcome","The verb 'spare' evokes protection from harm or punishment and is applied to relief from deportation.","True","The source domain of refraining from inflicting harm or punishment is still available to readers. It frames the executive actions as preventing an imposed outcome, which helps the reader infer the causal effect of the policy: it protects people from deportation rather than merely describing the policy neutrally.","to spare nearly 5 million people in the U.S. illegally from deportation","True","False","high","'Spare ... from' is a highly conventional lexical expression here, not a clearly active cross-domain mapping. It mainly states exemption from an outcome and does not add inferential structure beyond the literal policy effect.","False"
"4","obama-immigration-speech","obama-immigration-speech_p0001_washington","WASHINGTON — Spurning furious Republicans, President Barack Obama unveiled expansive executive actions on immigration Thursday night to spare nearly 5 million people in the U.S. illegally from deportation and refocus enforcement efforts on ""felons, not families.""","refocus enforcement efforts on ""felons, not families.""","optics / adjusting the focus of eyes, lenses, or cameras","redirecting governmental attention and enforcement priorities","The sentence uses visual-focus language to describe shifting policy emphasis toward one group rather than another.","True","The optics/lens imagery is active and easy to perceive. It maps visual focusing onto the redirection and sharpening of governmental attention, helping the reader understand how enforcement priorities are being reorganized within the system.","refocus enforcement efforts on ""felons, not families.""","True","True","medium","'Refocus' draws on an optics/vision source domain to frame enforcement priorities as being redirected toward a clearer target. That helps the reader reason about allocation and direction of policy effort, so it is more than decorative wording.","True"
"15","sewage-drinkingwater","sewage-drinkingwater_p0001_los","LOS ANGELES — It's a technology with the potential to ease California's colossal thirst and insulate millions from the parched whims of Mother Nature, experts say.","the potential","physics/latent energy or stored force","future capability or possibility of a technology","The technology's possible future effectiveness is framed as if it contains latent power waiting to be realized.","False","Although ""potential"" historically comes from stored force or energy, in the phrase ""with the potential to"" that source domain is mostly dead for modern readers. It signals possibility, but does not help explain causal structure, dynamics, or how the technology works.","","","","","","False"
"15","sewage-drinkingwater","sewage-drinkingwater_p0001_los","LOS ANGELES — It's a technology with the potential to ease California's colossal thirst and insulate millions from the parched whims of Mother Nature, experts say.","ease California's colossal thirst","relieving a living body's thirst or discomfort","reducing California's water shortage or water demand","The state is treated like a thirsty organism whose condition can be eased.","True","The bodily-thirst source domain is still vivid, and ""ease"" preserves the idea of relieving a living body's discomfort. This helps readers infer how the technology would function: by alleviating a large systemic water deficit or demand.","ease California's colossal thirst","True","True","high","Maps bodily thirst onto statewide water demand/scarcity. The imagery is still active and helps the reader understand the technology as relieving a pressing need, not just adding emphasis.","True"
"15","sewage-drinkingwater","sewage-drinkingwater_p0001_los","LOS ANGELES — It's a technology with the potential to ease California's colossal thirst and insulate millions from the parched whims of Mother Nature, experts say.","California's colossal thirst","a living creature's bodily thirst, intensified by physical size","the state's enormous need for water","California is personified as a being with thirst, and the scale of that need is described with a size term.","True","A modern reader can still perceive the image of a thirsty body. Framing the state as ""thirsty"" models the water problem as an ongoing need or deficit that can be supplied or relieved, which supports causal understanding.","California's colossal thirst","True","True","high","Personifies California as a thirsty body. This framing supports inference about the scale and urgency of water need, so it is more than decorative.","True"
"15","sewage-drinkingwater","sewage-drinkingwater_p0001_los","LOS ANGELES — It's a technology with the potential to ease California's colossal thirst and insulate millions from the parched whims of Mother Nature, experts say.","colossal thirst","physical size and bodily need","magnitude of water demand or scarcity","A size adjective normally used for large physical things is applied to an abstract resource need.","True","The phrase retains active bodily-need imagery, with ""colossal"" scaling that need up. It helps readers reason about the magnitude of the water-demand problem as a very large unmet need, not just as a vague bad condition.","colossal thirst","True","True","medium","Still carries the active bodily-thirst mapping to resource need. Slightly truncated, but it contributes to understanding magnitude of demand rather than merely sounding dramatic.","True"
"15","sewage-drinkingwater","sewage-drinkingwater_p0001_los","LOS ANGELES — It's a technology with the potential to ease California's colossal thirst and insulate millions from the parched whims of Mother Nature, experts say.","thirst","bodily need for water","statewide water scarcity or demand","A physiological condition is used to describe California's need for water.","True","The source domain of bodily need for water is clearly perceivable. It structures statewide water scarcity or demand as a condition of lack that can be quenched, which helps explain why a water technology could solve the problem.","thirst","True","True","medium","Used metaphorically for water demand/need rather than literal organismal thirst. Common, but still active enough here to structure understanding of scarcity.","True"
"15","sewage-drinkingwater","sewage-drinkingwater_p0001_los","LOS ANGELES — It's a technology with the potential to ease California's colossal thirst and insulate millions from the parched whims of Mother Nature, experts say.","insulate millions from","physical insulation/protective shielding of objects","protecting people from harmful effects or uncertainty","The verb suggests shielding people the way insulation protects against heat, cold, or electricity.","True","Physical insulation or shielding is still easy to imagine. The metaphor helps readers infer the technology's function as a protective buffer separating people from harmful or unstable environmental conditions.","insulate millions from","True","True","medium","Draws on the physical domain of insulation/barrier protection to describe shielding people from environmental variability. Conventional, but still inferential rather than purely emotional.","True"
"15","sewage-drinkingwater","sewage-drinkingwater_p0001_los","LOS ANGELES — It's a technology with the potential to ease California's colossal thirst and insulate millions from the parched whims of Mother Nature, experts say.","the parched whims of Mother Nature","dryness of bodies/land plus human caprice and family roles","drought conditions and the unpredictability of natural forces","Nature is personified as a capricious mother whose 'whims' are described with a dryness term associated with drought.","True","This blended personification remains perceptible: nature is cast as a capricious agent, and ""parched"" specifies that the caprice takes the form of drought or dryness. That helps explain what kind of unpredictable natural dynamics the technology would buffer against.","the parched whims of Mother Nature","True","True","high","Combines personification and drought imagery to frame nature as a capricious external force producing dry conditions. This helps the reader reason about unpredictability and dependence on weather systems.","True"
